Aphrodite,Venus
Assaracus
Asterion
Athamas
Atreus
Augeas
Autesion
Bias
Busiris
Cadmus
Car
Catreus
Cecrops
Ceisus
Celeus
Cephalus
Cepheus
Cepheus
Charnabon
Cinyras
Codrus
Corinthus
Cranaus
Creon
Creon
Cres
Cresphontes
Cretheus
Criasus
Cylarabes
Cynortas
Cyzicus
Danaus
Dardanus
Deiphontes
Demophon of Athens
Diomedes
Echemus
Echetus
Eetion
Electryon
Elephenor
Eleusis
Epaphus
Epopeus
Erechtheus
Erginus
Erichthonius
Eteocles
Eteocles, son of Andreus
Eurotas
Eurystheus
Euxantius
Gelanor
Haemus
Helenus
Hippothoön
Hyrieus
Ilus
Ixion
Laërtes
Laomedon
Lycaon of Arcadia
Lycurgus of Arcadia
Lycurgus of Nemea
Makedon
Megareus of Onchestus
Megareus of Thebes
Melampus
Melanthus
Memnon
Menelaus
Menestheus
Midas
Minos
Myles
Nestor
Nycteus
Odysseus
Oebalus
Oedipus
Oeneus
Oenomaus
Oenopion
Ogygus
Oicles
Oileus
Orestes
Oxyntes
Pandion I
Pandion II
Peleus
Pelias
Pelops
Pentheus
Periphas
Perseus
Phineus
Phlegyas
Phoenix, son of Agenor
Phoroneus
Phyleus
Pirithoös
Pittheus
Polybus of Corinth
Polybus of Sicyon
Polybus of Thebes
Polynices
Priam
Proetus
Pylades
Rhadamanthys
Rhesus
Sarpedon
Sisyphus
Sithon
Talaus
Tegyrios
Telamon
Telephus
Temenus
Teucer
Teutamides
Teuthras
Thersander
Theseus
Thyestes
Tisamenus
Tyndareus
Amphilochus
Anius
Branchus
Calchas
Carnus
Carya
Cassandra
Ennomus
Halitherses
Helenus
Iamus
Idmon
Manto
Melampus
Mopsus
Polyeidos
Telemus
Theoclymenus
Tiresias
Aegea
Aella
Alcibie
Antandre
Antiope
Areto
Asteria
Bremusa
Celaeno
Eurypyle
Hippolyta
Hippothoe
Iphito
Lampedo
Marpesia
Melanippe
Molpadia
Myrina
Orithyia
Otrera
Pantariste
Penthesilea
Danaides
Ixion
Sisyphus
Tantalus
